States/UTs,Ratio of female to male Labour Force Participation Rate (LFPR) (15-59 years),Average Wage Salary Earnings F/M,Women/Men ratio in managerial positions,Ratio of female workers to male workers working as Professionals and Technical Workers,Female to Male Ratio of Literacy Rate of 7 and above (age),Female to Male Ratio of Enrolment in primary education,Female to Male Ratio of Enrolment in secondary education,Female to Male Ratio of Enrolment in higher education,Sex ratio at birth (F/M),Gender Ratio (Life Expectancy),F/M Ratio of seats held in Panchayat Raj Institutions (PRIs),F/M Lok Sabha,Gender Ratio (Days of CM),Final Score
Andhra Pradesh,0.62,0.653,0.223,0.527,0.84772,0.9664,0.9318,0.9978,0.934,1.065,1,0.086956522,0.93897,0.807336577
Arunachal Pradesh,0.76,0.686,0.251,0.617,0.9125,0.8925,1.0228,1.0675,0.979,1.0693,0.6395,0,0.59805,0.761493386
Assam,0.22,0.559,0.273,0.533,0.9258,0.982,1.1583,1.0656,0.964,1.004,1.203,0.076923077,1.19821,0.84198145
Bihar,0.31,0.868,0.363,0.315,0.80316,0.9973,1.0054,0.9502,0.908,1.017,1.0842,0.142857143,1.06608,0.839395803
Chhattisgarh,0.74,0.696,0.224,0.67,0.81903,0.8902,1.0485,1.1324,0.96,1.057,1.2123,0.222222222,1.14693,0.875743154
Goa,0.42,0.627,0.219,0.905,0.92784,0.9119,0.9303,0.9779,0.838,1.0693,0.58,0,0.54241,0.70401217
Gujarat,0.53,0.697,0.266,0.507,0.84978,0.9449,0.8245,0.8496,0.955,1.089,0.9992,0.181818182,0.91754,0.805593544
Haryana,0.63,0.907,0.259,0.611,0.84683,0.8633,0.8068,0.8412,0.893,1.091,0.7275,0.111111111,0.66682,0.766731333
Himachal Pradesh,0.89,0.732,0.241,0.705,0.87844,0.8156,0.8982,0.9106,0.875,1.111,1.0052,0.333333333,0.90477,0.822048354
Jharkhand,0.6,0.469,0.262,0.342,0.85266,0.9182,1.0288,1.0264,0.899,1.014,1.0647,0.166666667,1.05,0.791150203
Karnataka,0.53,0.746,0.275,0.556,0.87741,0.9051,0.9494,1.0111,0.978,1.065,1.001,0.12,0.93991,0.823696969
Kerala,0.53,0.781,0.2,1.016,0.97208,0.9129,0.9493,1.033,0.951,1.087,1.1016,0.052631579,1.01343,0.854244327
Madhya Pradesh,0.55,0.851,0.245,0.439,0.80626,0.9362,0.8952,0.9017,0.956,1.066,1,0.260869565,0.93809,0.832397941
Maharashtra,0.54,0.782,0.269,0.428,0.88026,0.8947,0.8709,0.8734,0.913,1.106,1.1504,0.170731707,1.04014,0.832808604
Manipur,0.45,0.709,0.251,0.696,0.95021,0.8964,0.9936,0.9803,0.967,1.0693,1.0286,0,0.96194,0.817730335
Meghalaya,0.78,0.789,0.101,1.698,0.98318,0.9611,1.2101,1.2923,0.989,1.0693,0.8826,0,0.8254,0.877779874
Mizoram,0.67,0.791,0.251,0.474,0.97782,1.0223,1.0517,1.1058,0.969,1.0693,0.8826,0,0.8254,0.829671184
Nagaland,0.81,0.9,0.401,0.585,0.96811,0.9684,1.0647,1.1199,0.945,1.0693,0.8826,0,0.8254,0.850436091
Odisha,0.58,0.686,0.276,0.556,0.86337,0.9738,0.9589,1.0412,0.894,1.045,1.1132,0.235294118,1.06526,0.840552524
Punjab,0.37,0.678,0.293,0.6,0.91724,0.9378,0.8315,0.8389,0.904,1.054,0.7182,0.083333333,0.6814,0.735865202
Rajasthan,0.64,0.807,0.283,0.322,0.76601,0.861,0.8401,0.8159,0.891,1.091,1.0535,0.136363636,0.96563,0.802741936
Sikkim,0.64,0.935,0.251,0.719,0.88802,0.8524,1.0432,1.2394,0.969,1.0693,1.0115,0,0.94595,0.857923989
Tamil Nadu,0.54,0.692,0.235,0.59,0.90333,0.9281,0.9438,1.0508,0.878,1.11,1.1276,0.114285714,1.01586,0.825226941
Telangana,0.62,0.67,0.263,0.418,0.81936,0.932,0.952,0.9937,0.894,1.095,1.014,0.133333333,0.92603,0.80145121
Tripura,0.48,0.526,0.251,0.72,0.95716,0.8994,1.0202,1.054,1.028,1.0693,0.8258,1,0.77228,0.835674627
Uttar Pradesh,0.39,0.831,0.239,0.407,0.8186,0.9488,0.8331,0.8237,0.941,1.094,0.5006,0.111111111,0.45759,0.715049307
Uttarakhand,0.52,0.91,0.184,0.359,0.85398,0.8778,0.9011,0.9235,0.984,1.107,1.2735,0.25,1.15041,0.882660972
West Bengal,0.42,0.588,0.279,0.632,0.92424,0.8626,1.0766,1.2586,0.973,1.056,1.0587,0.366666667,1.00256,0.836856687
Andaman & Nicobar Islands,0.6,0.688,0.251,0.965,0.91579,0.9111,0.9762,1.004,0.914,1.0693,0.5538,0,0.51791,0.735218776
Chandigarh,0.31,0.982,0.257,0.753,0.94087,0.8739,0.8273,0.8533,0.838,1.0693,0.8826,0,0.8254,0.783813508
Dadra & Nagar Haveli and Daman & Diu,0.43,0.505,0.236,0.582,0.86218,0.9386,0.851,1.0193,0.817,1.0693,0.6949,1,0.64986,0.754607657
Delhi,0.21,0.869,0.284,0.285,0.88974,0.8871,0.8761,0.9418,0.923,1.069,0.8826,0.4,0.82563,0.794698228
Jammu and Kashmir,0.66,0.859,0.143,0.57,0.82366,0.9101,0.8866,0.8698,0.976,1.035,0.4966,0,0.47981,0.730647162
Ladakh,0.88,0.74,0.251,0.502,0.83163,0.9554,1.0835,1.1613,1.125,1.0693,0.4493,0,0.42018,0.771714133
Lakshadweep,0.25,1.032,0.251,0.446,0.95372,0.9895,0.8996,0.9927,1.051,1.0693,0.595,0,0.55644,0.784968581
Puducherry,0.48,0.794,0.238,0.895,0.91641,0.9021,0.9592,1.0471,0.959,1.0693,0.8826,0,0.8254,0.807357897
Average,0.5444,0.751,0.2511,0.6096,0.8868,0.92,0.9556,1.0018,0.9398,1.0694,0.905,0.1599,0.8468,0.8064
